Id,User,Group,Partition,MPI,Application
10001,user1,group2,general,TRUE,RAMSES
10002,user1,group2,general,TRUE,Python
10003,user2,group1,general,TRUE,Python
10004,user1,group2,private,FALSE,SimpleQueue
10005,user3,group1,general,FALSE,SimpleQueue
10006,user1,group2,general,FALSE,SimpleQueue
10007,user4,group3,interactive,FALSE,R
10008,user1,group2,interactive,FALSE,R
10009,user5,group3,general,TRUE,RAMSES
10010,user6,group3,private,FALSE,Matlab
10011,user1,group2,private,FALSE,Python
10012,user4,group3,general,TRUE,Matlab
10013,user1,group2,general,FALSE,R
10014,user2,group1,general,TRUE,R
